/////////////////////
Key
Tile Type - Collectables - Junctions/Corners - Characters - Scatter Location
00000

Tile Type
00000 - Empty Tile (Walkable)
10000 - Empty Tile (Un-walkable)
20000 - Portal (Walkable)
30000 - Vertical Wall (Un-walkable)
40000 - Horizontal Wall (Un-walkable)
80000 - Ghost Pen Door 
90000 - Ghost Pen Empty Tile

Collectables
01000 - Dot
02000 - PowerPill

Junctions/Corners
00100 - Junction
00200 - Corner

Characters
00010 - Player/Pacman
00020 - Blinky
00030 - Pinky
00040 - Inky
00050 - Clyde
00060 - Target Sprite

Scatter Location
00002 - Blinky
00003 - Pinky
00004 - Inky
00005 - Clyde
00006 - House POI
////////////////////
MapStart
10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000
10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000
10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000
10000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  30000,  30000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000,  40000
10000,  30000,  01200,  01000,  01000,  01000,  01000,  01100,  01000,  01000,  01000,  01000,  01000,  01200,  30000,  30000,  01200,  01000,  01000,  01000,  01000,  01000,  01100,  01000,  01000,  01000,  01000,  01200,  30000
10000,  30000,  01000,  30000,  40000,  40000,  30000,  01000,  40000,  40000,  40000,  40000,  40000,  01000,  30000,  30000,  01000,  40000,  40000,  40000,  40000,  40000,  01000,  30000,  40000,  40000,  30000,  01000,  30000
10000,  30000,  02000,  30000,  10000,  10000,  30000,  01000,  30000,  10000,  10000,  10000,  30000,  01000,  30000,  30000,  01000,  30000,  10000,  10000,  10000,  30000,  01000,  30000,  10000,  10000,  30000,  02002,  30000
10000,  30000,  01000,  30000,  40000,  40000,  30000,  01000,  40000,  40000,  40000,  40000,  40000,  01000,  30000,  30000,  01000,  40000,  40000,  40000,  40000,  40000,  01000,  30000,  40000,  40000,  30000,  01000,  30000
10000,  30000,  01100,  01000,  01000,  01000,  01000,  01100,  01000,  01000,  01100,  01000,  01000,  01100,  01000,  01000,  01100,  01000,  01000,  01100,  01000,  01000,  01100,  01000,  01000,  01000,  01000,  01100,  30000
10000,  30000,  01000,  30000,  40000,  40000,  30000,  01000,  40000,  40000,  01000,  40000,  40000,  40000,  30000,  30000,  40000,  40000,  40000,  01000,  40000,  40000,  01000,  30000,  40000,  40000,  30000,  01000,  30000
10000,  30000,  01000,  30000,  40000,  40000,  30000,  01000,  30000,  30000,  01000,  40000,  40000,  40000,  30000,  30000,  40000,  40000,  40000,  01000,  30000,  30000,  01000,  30000,  40000,  40000,  30000,  01000,  30000
10000,  30000,  01200,  01000,  01000,  01000,  01000,  01100,  30000,  30000,  01200,  01000,  01000,  01200,  30000,  30000,  01200,  01000,  01000,  01200,  30000,  30000,  01100,  01000,  01000,  01000,  01000,  01200,  30000
10000,  40000,  40000,  40000,  40000,  40000,  40000,  01000,  30000,  30000,  40000,  40000,  40000,  00000,  30000,  30000,  00000,  40000,  40000,  40000,  30000,  30000,  01000,  40000,  40000,  40000,  40000,  40000,  40000
10000,  10000,  10000,  10000,  10000,  10000,  30000,  01000,  30000,  30000,  40000,  40000,  40000,  00000,  30000,  30000,  00000,  40000,  40000,  40000,  30000,  30000,  01000,  30000,  10000,  10000,  10000,  10000,  10000
10000,  10000,  10000,  10000,  10000,  10000,  30000,  01000,  30000,  30000,  00200,  00000,  00000,  00100,  00100,  00100,  00120,  00000,  00000,  00200,  30000,  30000,  01000,  30000,  10000,  10000,  10000,  10000,  10000
10000,  10000,  10000,  10000,  10000,  10000,  30000,  01000,  30000,  30000,  00000,  40000,  40000,  40000,  80100,  80100,  40000,  40000,  40000,  00000,  30000,  30000,  01000,  30000,  10000,  10000,  10000,  10000,  10000
10000,  40000,  40000,  40000,  40000,  40000,  40000,  01000,  40000,  40000,  00000,  30000,  90200,  90100,  90100,  90106,  90100,  90200,  30000,  00000,  40000,  40000,  01000,  40000,  40000,  40000,  40000,  40000,  40000
10000,  20000,  00000,  00000,  00000,  00000,  00000,  01100,  00000,  00000,  00100,  30000,  90100,  90050,  90030,  90040,  90000,  90100,  30000,  00100,  00000,  00000,  01100,  00000,  00000,  00000,  00000,  00000,  20000
