/////////////////////
Key
Tile Type - Collectables - Junctions/Corners - Characters - Scatter Location
00000

Tile Type
00000 - Empty Tile (Walkable)
10000 - Block Fill Wall (Unwalkable)
20000 - Portal (Walkable)
30000 - Fruit Spawner (Walkable)

Collectables
01000 - Dot
02000 - PowerPill

Junctions/Corners
00100 - Junction
00200 - Corner

Characters
00010 - Player/Pacman
00020 - Blinky
00030 - Pinky
00040 - Inky
00050 - Clyde

Scatter Location
00002 - Blinky
00003 - Pinky
00004 - Inky
00005 - Clyde
////////////////////
MapStart
10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000
10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000
10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000
10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000
10000,  01200,  01000,  01000,  01000,  01000,  01100,  01000,  01000,  01000,  01000,  01000,  01200,  10000,  10000,  01200,  01000,  01000,  01000,  01000,  01000,  01100,  01000,  01000,  01000,  01000,  01200,  10000
10000,  01000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  01000,  10000
10000,  02000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  02000,  10000
10000,  01000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  01000,  10000
10000,  01100,  01000,  01000,  01000,  01000,  01100,  01000,  01000,  01100,  01000,  01000,  01100,  01000,  01000,  01100,  01000,  01000,  01100,  01000,  01000,  01100,  01000,  01000,  01000,  01000,  01100,  10000
10000,  01000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  01000,  10000
10000,  01000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  10000,  01000,  10000,  10000,  01000,  10000,  10000,  10000,  10000,  01000,  10000
10000,  01200,  01000,  01000,  01000,  01000,  01100,  10000,  10000,  01200,  01000,  01000,  01200,  10000,  10000,  01200,  01000,  01000,  01200,  10000,  10000,  01100,  01000,  01000,  01000,  01000,  01200,  10000
